,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,10.91,71,75,6.17,SJ,1658933958
1,borogontsy,62.6683,131.1683,19.99,71,22,1.28,RU,1658933958
2,mokhsogollokh,61.4681,128.9203,18.21,71,7,0.54,RU,1658933959
3,sabzevar,36.2126,57.6819,37.6,17,0,7.2,IR,1658933959
4,grand gaube,-20.0064,57.6608,22.22,76,3,2.68,MU,1658933959
5,kerman,30.2832,57.0788,30.92,37,40,7.2,IR,1658933900
6,hithadhoo,-0.6,73.0833,27.6,76,100,3.48,MV,1658933960
7,asau,46.4333,26.4,26.51,82,89,1.18,RO,1658933960
8,luderitz,-26.6481,15.1594,16.76,58,0,5.34,NA,1658933960
9,east london,-33.0153,27.9116,18.52,77,40,6.69,ZA,1658933961
10,mataura,-46.1927,168.8643,8.6,99,100,0.67,NZ,1658933961
11,bluff,-46.6,168.3333,8.78,89,100,4.79,NZ,1658933962
12,punta arenas,-53.15,-70.9167,3.06,70,75,5.66,CL,1658933962
13,victoria,22.2855,114.1577,30.74,75,42,1.79,HK,1658933808
14,yar-sale,66.8333,70.8333,16.33,57,58,3.52,RU,1658933962
15,axim,4.8699,-2.2405,26.1,75,77,5.96,GH,1658933963
16,carnarvon,-24.8667,113.6333,21.5,53,100,1.72,AU,1658933963
17,kedrovka,55.5333,86.05,21.49,84,6,1.34,RU,1658933963
18,kruisfontein,-34.0033,24.7314,16.6,75,94,2.64,ZA,1658933963
19,aklavik,68.2191,-135.0107,12.4,52,88,7.01,CA,1658933964
20,albany,42.6001,-73.9662,25.7,54,99,0.45,US,1658933957
21,baena,37.6167,-4.3225,37.73,10,0,6.54,ES,1658933964
22,hasaki,35.7333,140.8333,26.27,91,100,8.03,JP,1658933965
23,cidreira,-30.1811,-50.2056,19.48,74,86,2.9,BR,1658933965
24,port macquarie,-31.4333,152.9167,6.05,70,6,4.31,AU,1658933966
25,ahipara,-35.1667,173.1667,15.09,92,100,8.97,NZ,1658933966
26,rikitea,-23.1203,-134.9692,23.24,73,99,5.48,PF,1658933967
27,guerrero negro,27.9769,-114.0611,21.29,74,3,4.1,MX,1658933797
28,ushuaia,-54.8,-68.3,3.81,70,20,1.54,AR,1658933967
29,thaba-tseka,-29.522,28.6084,9.08,66,100,0.61,LS,1658933968
30,tiznit,29.5833,-9.5,34.38,22,0,4.8,MA,1658933968
31,saint-pierre,-21.3393,55.4781,21.83,78,0,2.57,RE,1658933968
32,koslan,63.4564,48.8989,23.27,43,57,2.67,RU,1658933969
33,berlevag,70.8578,29.0864,20.89,94,100,2.57,NO,1658933969
34,banepa,27.6298,85.5214,22.18,88,75,0.0,NP,1658933969
35,bethel,41.3712,-73.414,27.97,55,94,0.45,US,1658933970
36,tuktoyaktuk,69.4541,-133.0374,12.0,66,75,7.72,CA,1658933970
37,makakilo city,21.3469,-158.0858,24.2,72,23,7.13,US,1658933970
38,cookeville,36.1628,-85.5016,28.88,80,46,1.34,US,1658933971
39,ponta do sol,32.6667,-17.1,28.73,67,2,2.51,PT,1658933971
40,pomezia,41.667,12.5052,33.48,68,40,4.63,IT,1658933971
41,hobart,-42.8794,147.3294,9.59,74,75,1.54,AU,1658933972
42,matagami,49.7502,-77.6328,22.06,56,0,3.6,CA,1658933972
43,saint-philippe,-21.3585,55.7679,21.79,82,17,4.35,RE,1658933972
44,qaanaaq,77.484,-69.3632,5.02,78,70,2.63,GL,1658933972
45,new norfolk,-42.7826,147.0587,9.4,79,89,0.45,AU,1658933973
46,ben tre,10.2333,106.3833,25.02,93,100,1.45,VN,1658933973
47,saldanha,-33.0117,17.9442,20.03,73,0,5.11,ZA,1658933974
48,avarua,-21.2078,-159.775,22.03,73,100,4.63,CK,1658933974
49,playas,-2.6333,-80.3833,21.5,82,99,1.89,EC,1658933974
50,samana,19.2056,-69.3369,27.12,83,75,3.09,DO,1658933975
51,rongcheng,30.634,117.8517,27.22,88,11,1.61,CN,1658933975
52,fairbanks,64.8378,-147.7164,8.94,87,100,2.36,US,1658933975
53,bandarbeyla,9.4942,50.8122,25.41,79,93,14.22,SO,1658933976
54,jamestown,42.097,-79.2353,23.34,56,100,1.79,US,1658933976
55,aasiaat,68.7098,-52.8699,3.47,91,100,1.5,GL,1658933976
56,tarko-sale,64.9225,77.785,16.67,62,86,3.96,RU,1658933977
57,khatanga,71.9667,102.5,17.55,71,89,2.71,RU,1658933977
58,cape town,-33.9258,18.4232,19.23,65,0,6.69,ZA,1658933957
59,kapaa,22.0752,-159.319,21.99,91,60,5.06,US,1658933977
60,airai,-8.9266,125.4092,11.71,85,68,1.7,TL,1658933978
61,pevek,69.7008,170.3133,0.9,91,100,0.83,RU,1658933978
62,mabaruma,8.2,-59.7833,28.98,72,28,1.39,GY,1658933978
63,solnechnyy,50.7214,136.6319,15.7,96,0,1.58,RU,1658933979
64,cabo san lucas,22.8909,-109.9124,29.78,85,39,0.89,MX,1658933887
65,roblin,51.23,-101.3565,13.13,85,93,6.0,CA,1658933979
66,lhokseumawe,5.1801,97.1507,25.16,90,100,1.7,ID,1658933979
67,thompson,55.7435,-97.8558,14.09,82,75,3.6,CA,1658933798
68,shihezi,44.3,86.0333,30.31,14,32,2.17,CN,1658933980
69,port alfred,-33.5906,26.891,17.32,82,100,1.79,ZA,1658933980
70,dongsheng,39.8161,109.9776,17.32,62,11,7.25,CN,1658933981
71,busselton,-33.65,115.3333,13.81,81,95,4.47,AU,1658933981
72,kurilsk,45.2333,147.8833,15.18,98,52,0.52,RU,1658933982
73,lisakovsk,52.5369,62.4936,19.81,76,96,7.96,KZ,1658933982
74,berezovyy,51.6667,135.7,15.67,95,0,0.78,RU,1658933982
75,puerto ayora,-0.7393,-90.3518,22.98,93,96,3.13,EC,1658933983
76,dikson,73.5069,80.5464,4.87,97,100,6.92,RU,1658933983
77,barranca,-10.75,-77.7667,17.94,76,41,4.25,PE,1658933984
78,butaritari,3.0707,172.7902,27.45,75,17,7.6,KI,1658933984
79,nikolskoye,59.7035,30.7861,19.95,78,100,3.06,RU,1658933984
80,mareeba,-17.0,145.4333,17.49,89,14,0.89,AU,1658933985
81,magistralnyy,56.1725,107.4458,13.47,97,100,4.61,RU,1658933985
82,bathsheba,13.2167,-59.5167,30.34,97,75,8.23,BB,1658933985
83,narsaq,60.9167,-46.05,8.98,70,21,3.97,GL,1658933986
84,bilma,18.6853,12.9164,41.68,7,26,5.93,NE,1658933986
85,castro,-24.7911,-50.0119,21.82,49,9,1.23,BR,1658933986
